"completion_date","code","disclosure_rate1yr","disclosure_rate3yr","ind_disclosure_rate1yr","ind_disclosure_rate3yr","ind_disclosure_rate1yr_nda","ind_disclosure_rate3yr_nda","ind_disclosure_rate1yr_bla","ind_disclosure_rate3yr_bla","ind_disclosure_rate1yr_any_us","ind_disclosure_rate3yr_any_us","ind_disclosure_rate1yr_no_us","ind_disclosure_rate3yr_no_us"
"2008","C13",0.1,0.19,0.17,0.31,0.18,0.33,0,0,0.27,0.5,0,0
"2009","C13",0.14,0.25,0.32,0.47,0.25,0.44,0.67,0.67,0.36,0.64,0.36,0.36
"2010","C13",0.08,0.29,0.19,0.54,0.17,0.54,0.5,0.5,0.29,0.93,0.09,0.09
"2011","C13",0.14,0.34,0.22,0.56,0.24,0.56,0,0.5,0.27,0.64,0,0.33
"2012","C13",0.17,0.44,0.22,0.48,0.22,0.5,0.17,0.33,0.38,0.83,0.06,0.11
"2013","C13",0.19,0.47,0.24,0.48,0.22,0.48,0.5,0.5,0.3,0.65,0.11,0.11
"2014","C13",0.2,0.48,0.32,0.58,0.34,0.58,0,0.5,0.5,0.85,0,0.08
"2015","C13",0.22,0.52,0.33,0.67,0.3,0.67,0.5,0.75,0.38,0.83,0.22,0.33
"2016","C13",0.23,0.44,0.23,0.5,0.27,0.46,0,0.75,0.58,1,0,0.2
"2017","C13",0.29,0.5,0.32,0.47,0.34,0.45,0.2,0.6,0.43,0.57,0.11,0.33
"2018","C13",0.33,0.52,0.36,0.6,0.33,0.57,0.5,0.75,0.47,0.8,0.22,0.33
"2019","C13",0.24,0.44,0.25,0.5,0.28,0.6,0.14,0.14,0.39,0.83,0.08,0.08
"2020","C13",0.34,0.49,0.42,0.6,0.44,0.61,0.33,0.67,0.73,1,0.06,0.11
"2021","C13",0.27,0.5,0.33,0.6,0.35,0.62,0.28,0.56,0.35,0.62,0.33,0.67
